"","ID"
"1","001RD2--pA"
"2","017R--pA"
"3","117C--pA"
"4","059C--pB"
"5","062C--pA"
"6","105A--pB"
"7","089C--pA"
"8","187A--pB"
"9","016D--pB"
"10","034A--pB"
"11","019R--pA"
"12","109D--pA"
"13","072D--pB"
"14","112A--pA"
"15","063A--pB"
"16","056D--pA"
"17","034C--pB"
"18","188A--pA"
"19","191C--pA"
"20","198C--pA"
"21","008R--pA"
"22","199R--pB"
"23","184C--pB"
"24","079D--pA"
"25","092C--pA"
"26","197D--pA"
"27","017R--pB"
"28","018A--pB"
"29","086R--pB"
"30","072C--pB"
"31","181C--pB"
"32","002D--pA"
"33","084D--pA"
"34","002CI1--pB"
"35","183C--pA"
"36","198R--pB"
"37","187R--pA"
"38","083C--pA"
"39","071A--pA"
"40","001AD1--pA"
"41","083C--pB"
"42","179C--pB"
"43","199R--pA"
"44","195C--pB"
"45","100D--pB"
"46","001RI1--pB"
"47","011D--pA"
"48","195A--pB"
"49","036D--pA"
"50","011C--pB"
"51","176A--pA"
"52","059D--pB"
"53","197A--pA"
"54","002RD2--pA"
"55","044D--pA"
"56","096C--pB"
"57","037D--pB"
"58","008D--pB"
"59","022C--pB"
"60","097C--pA"
"61","058C--pA"
"62","042A--pA"
"63","049A--pA"
"64","079D--pB"
"65","106D--pA"
"66","050C--pA"
"67","004D1--pA"
"68","001CI1--pB"
"69","022A--pB"
"70","064D--pB"
"71","029A--pA"
"72","098R--pB"
"73","014C--pA"
"74","180D--pB"
"75","178A--pB"
"76","197A--pB"
"77","033R--pB"
"78","188D--pB"
"79","020C--pA"
"80","034R--pA"
"81","039D--pA"
"82","055D--pA"
"83","079R--pB"
"84","181R--pA"
"85","032C--pB"
"86","021C--pB"
"87","200A--pB"
"88","066C--pB"
"89","027D--pA"
"90","069C--pB"
"91","031C--pB"
"92","021C--pA"
"93","004CD2--pA"
"94","051R--pB"
"95","030D--pA"
"96","182C--pA"
"97","194A--pA"
"98","037C--pA"
"99","058R--pA"
"100","002RI1--pA"
"101","194A--pB"
"102","024A--pA"
"103","020R--pA"
"104","183R--pA"
"105","015R--pA"
"106","180A--pA"
"107","001A1--pB"
"108","059D--pA"
"109","114R--pA"
"110","086C--pA"
"111","108A--pB"
"112","017A--pB"
"113","091A--pA"
"114","010R--pB"
"115","195C--pA"
"116","007A--pA"
"117","092R--pB"
"118","020A--pA"
"119","014A--pA"
"120","036C--pA"
"121","108D--pA"
"122","004CI1--pB"
"123","001AD2--pB"
"124","021R--pB"
"125","061D--pA"
"126","192R--pA"
"127","192R--pB"
"128","177A--pB"
"129","031A--pB"
"130","190C--pA"
"131","056R--pB"
"132","198R--pA"
"133","181D--pB"
"134","011D--pB"
"135","003D2--pB"
"136","068R--pA"
"137","091C--pB"
"138","019A--pA"
"139","014C--pB"
"140","105C--pB"
"141","022R--pB"
"142","113R--pA"
"143","179R--pB"
"144","197D--pB"
"145","007C--pA"
"146","002AD2--pA"
"147","024D--pB"
"148","189C--pB"
"149","063C--pA"
"150","108C--pA"
"151","191R--pA"
"152","026C--pB"
"153","056D--pB"
"154","109R--pA"
"155","008A--pA"
"156","098D--pA"
"157","071D--pA"
"158","078C--pA"
"159","192D--pA"
"160","001A1--pA"
"161","008A--pB"
"162","188C--pA"
"163","059A--pA"
"164","182R--pA"
"165","105C--pA"
"166","002AI1--pB"
"167","001CD1--pB"
"168","075A--pB"
"169","071D--pB"
"170","071C--pB"
"171","114R--pB"
"172","196R--pB"
"173","113R--pB"
"174","027R--pA"
"175","070C--pB"
"176","001D1--pA"
"177","184C--pA"
"178","004CD2--pB"
"179","054R--pA"
"180","047A--pA"
"181","179D--pB"
"182","088R--pB"
"183","038C--pA"
"184","002AI2--pB"
"185","193R--pB"
"186","092R--pA"
"187","062D--pA"
"188","105D--pB"
"189","022R--pA"
"190","093D--pB"
"191","180D--pA"
"192","042C--pA"
"193","009C--pB"
"194","006C--pB"
"195","019A--pB"
"196","068R--pB"
"197","038A--pA"
"198","006R--pB"
"199","008R--pB"
"200","010C--pB"
"201","065C--pB"
"202","179A--pA"
"203","058C--pB"
"204","198D--pB"
"205","002CD2--pB"
"206","031R--pB"
"207","016C--pB"
"208","002AD1--pB"
"209","021A--pA"
"210","029R--pA"
"211","013D--pA"
"212","098D--pB"
"213","050R--pA"
"214","110R--pB"
"215","038A--pB"
"216","058R--pB"
"217","010A--pA"
"218","021D--pB"
"219","105D--pA"
"220","069D--pB"
"221","096D--pA"
"222","053C--pB"
"223","018C--pA"
"224","180R--pA"
"225","004CI2--pA"
"226","042C--pB"
"227","009A--pA"
"228","176C--pA"
"229","099A--pA"
"230","017D--pB"
"231","032R--pB"
"232","003RD1--pA"
"233","077D--pA"
"234","016D--pA"
"235","001RD1--pB"
"236","049R--pA"
"237","003D2--pA"
"238","095D--pB"
"239","084D--pB"
"240","004AD2--pB"
"241","007A--pB"
"242","178A--pA"
"243","033R--pA"
"244","093A--pA"
"245","086A--pA"
"246","178D--pB"
"247","198A--pA"
"248","001CI1--pA"
"249","086C--pB"
"250","200C--pA"
"251","070C--pA"
"252","086A--pB"
"253","185R--pA"
"254","184A--pB"
"255","098A--pA"
"256","183D--pA"
"257","199C--pA"
"258","176C--pB"
"259","014R--pB"
"260","177A--pA"
"261","016R--pA"
"262","064D--pA"
"263","061D--pB"
"264","026A--pB"
"265","034R--pB"
"266","020D--pA"
"267","004RI2--pA"
"268","064C--pB"
"269","178C--pB"
"270","007D--pB"
"271","100C--pA"
"272","191C--pB"
"273","003CD2--pB"
"274","028R--pA"
"275","177D--pA"
"276","182D--pB"
"277","055D--pB"
"278","046R--pA"
"279","065C--pA"
"280","001AI2--pB"
"281","077C--pA"
"282","112C--pB"
"283","060R--pA"
"284","026R--pA"
"285","012D--pB"
"286","056C--pA"
"287","113A--pB"
"288","177C--pA"
"289","114D--pB"
"290","195A--pA"
"291","019D--pA"
"292","033A--pA"
"293","185C--pA"
"294","001RI2--pA"
"295","006D--pA"
"296","073C--pA"
"297","192A--pB"
"298","088R--pA"
"299","001D--pA"
"300","197C--pB"
"301","189D--pA"
"302","105R--pB"
"303","041D--pB"
"304","190A--pA"
"305","004DE2--pA"
"306","018R--pA"
"307","106R--pA"
"308","032A--pA"
"309","067D--pA"
"310","192A--pA"
"311","030C--pA"
"312","003CI2--pB"
"313","038D--pB"
"314","195R--pA"
"315","002CI2--pB"
"316","035C--pB"
"317","053A--pA"
"318","111R--pB"
"319","008C--pB"
"320","003AD2--pB"
"321","186D--pA"
"322","094D--pA"
"323","187C--pA"
"324","197C--pA"
"325","050D--pA"
"326","072A--pB"
"327","003RI2--pB"
"328","069D--pA"
"329","065A--pA"
"330","182C--pB"
"331","002AI1--pA"
"332","185C--pB"
"333","022C--pA"
"334","003CD1--pB"
"335","006C--pA"
"336","049A--pB"
"337","094D--pB"
"338","001RI1--pA"
"339","059R--pA"
"340","096R--pA"
"341","002CD2--pA"
"342","011C--pA"
"343","062D--pB"
"344","200C--pB"
"345","114C--pB"
"346","095D--pA"
"347","081C--pA"
"348","018C--pB"
"349","100C--pB"
"350","196R--pA"
"351","178D--pA"
"352","009A--pB"
"353","011R--pA"
"354","104R--pA"
"355","050A--pA"
"356","027A--pB"
"357","001AD1--pB"
"358","199A--pA"
"359","090C--pA"
"360","013D--pB"
"361","078D--pA"
"362","112C--pA"
"363","089A--pB"
"364","079R--pA"
"365","117C--pB"
"366","073R--pB"
"367","101C--pA"
"368","177R--pB"
"369","198D--pA"
"370","086D--pA"
"371","196C--pB"
"372","029A--pB"
"373","068D--pB"
"374","104R--pB"
"375","020R--pB"
"376","184D--pB"
"377","021R--pA"
"378","072C--pA"
"379","032C--pA"
"380","034C--pA"
"381","097A--pA"
"382","002RI2--pB"
"383","003AI2--pA"
"384","051D--pA"
"385","085C--pB"
"386","001RD1--pA"
"387","072D--pA"
"388","002RI2--pA"
"389","192C--pA"
"390","191D--pB"
"391","056A--pB"
"392","011A--pB"
"393","053A--pB"
"394","055R--pB"
"395","187D--pA"
"396","026C--pA"
"397","010C--pA"
"398","190C--pB"
"399","031C--pA"
"400","086D--pB"
"401","037D--pA"
"402","002CI2--pA"
"403","019C--pB"
"404","003CD1--pA"
"405","016R--pB"
"406","091A--pB"
"407","199C--pB"
"408","073A--pA"
"409","049R--pB"
"410","053C--pA"
"411","074R--pA"
"412","002CI1--pA"
"413","183R--pB"
"414","087C--pA"
"415","177C--pB"
"416","091R--pA"
"417","107C--pB"
"418","181C--pA"
"419","176D--pA"
"420","050R--pB"
"421","082D--pB"
"422","200D--pB"
"423","003RD1--pB"
"424","177D--pB"
"425","192C--pB"
"426","071A--pB"
"427","089D--pB"
"428","001RD2--pB"
"429","051R--pA"
"430","046R--pB"
"431","087C--pB"
"432","016C--pA"
"433","093D--pA"
"434","097C--pB"
"435","077R--pA"
"436","191A--pB"
"437","110R--pA"
"438","196C--pA"
"439","093A--pB"
"440","021A--pB"
"441","181A--pB"
"442","184A--pA"
"443","069A--pA"
"444","009C--pA"
"445","091C--pA"
"446","199A--pB"
"447","016A--pA"
"448","114A--pB"
"449","098R--pA"
"450","071R--pB"
"451","179D--pA"
"452","002RD1--pA"
"453","180A--pB"
"454","006R--pA"
"455","181A--pA"
"456","183A--pB"
"457","071R--pA"
"458","014D--pA"
"459","056C--pB"
"460","002RI1--pB"
"461","002AD2--pB"
"462","007D--pA"
"463","022D--pA"
"464","009D--pA"
"465","025D--pB"
"466","103C--pB"
"467","045D--pB"
"468","081D--pB"
"469","045D--pA"
"470","003CD2--pA"
"471","037A--pA"
"472","187C--pB"
"473","198C--pB"
"474","009R--pB"
"475","043A--pA"
"476","109R--pB"
"477","043A--pB"
"478","182R--pB"
"479","189A--pA"
"480","017A--pA"
"481","024R--pA"
"482","187A--pA"
"483","195D--pA"
"484","191A--pA"
"485","109D--pB"
"486","062R--pA"
"487","037A--pB"
"488","031R--pA"
"489","078R--pB"
"490","002CD1--pB"
"491","015A--pA"
"492","196A--pB"
"493","191D--pA"
"494","028D--pB"
"495","017D--pA"
"496","051C--pB"
"497","081A--pB"
"498","031A--pA"
"499","003RD2--pB"
"500","098A--pB"
"501","074C--pB"
"502","039D--pB"
"503","075A--pA"
"504","004RI1--pA"
"505","185A--pB"
"506","080D--pB"
"507","181R--pB"
"508","034A--pA"
"509","051D--pB"
"510","094A--pA"
"511","004AD2--pA"
"512","010A--pB"
"513","094A--pB"
"514","065R--pA"
"515","101C--pB"
"516","069A--pB"
"517","102A--pB"
"518","019R--pB"
"519","186D--pB"
"520","114C--pA"
"521","055R--pA"
"522","002AD1--pA"
"523","176R--pA"
"524","003AD2--pA"
"525","188A--pB"
"526","003D--pA"
"527","176R--pB"
"528","012D--pA"
"529","038D--pA"
"530","188D--pA"
"531","018A--pA"
"532","187R--pB"
"533","193R--pA"
"534","002D--pB"
"535","200R--pA"
"536","177R--pA"
"537","183C--pB"
"538","047A--pB"
"539","107D--pA"
"540","106R--pB"
"541","185D--pB"
"542","103R--pB"
"543","198A--pB"
"544","097A--pB"
"545","024A--pB"
"546","038R--pA"
"547","036R--pA"
"548","091D--pA"
"549","010D--pA"
"550","065A--pB"
"551","185A--pA"
"552","176A--pB"
"553","071C--pA"
"554","192D--pB"
"555","030A--pA"
"556","035R--pB"
"557","010R--pA"
"558","200D--pA"
"559","009R--pA"
"560","036A--pA"
"561","108D--pB"
"562","100A--pA"
"563","103R--pA"
"564","190A--pB"
"565","002CD1--pA"
"566","024D--pA"
"567","030A--pB"
"568","196A--pA"
"569","063R--pA"
"570","195R--pB"
"571","069C--pA"
"572","078A--pA"
"573","066A--pA"
"574","066D--pA"
"575","007R--pA"
"576","179R--pA"
"577","183D--pB"
"578","044A--pB"
"579","003RI1--pB"
"580","070A--pA"
"581","023D--pA"
"582","072A--pA"
"583","060R--pB"
"584","053D--pA"
"585","095A--pB"
"586","191R--pB"
"587","194R--pB"
"588","014R--pA"
"589","001CD2--pB"
"590","077R--pB"
"591","030D--pB"
"592","004DE2--pB"
"593","073C--pB"
"594","003AI2--pB"
"595","040C--pA"
"596","038R--pB"
"597","003CI2--pA"
"598","089C--pB"
"599","185D--pA"
"600","056R--pA"
"601","189C--pA"
"602","099A--pB"
"603","036D--pB"
"604","008D--pA"
"605","001CD2--pA"
"606","019C--pA"
"607","114D--pA"
"608","056A--pA"
"609","181D--pA"
"610","059C--pA"
"611","179C--pA"
"612","095A--pA"
"613","184D--pA"
"614","182A--pA"
"615","176D--pB"
"616","010D--pB"
"617","033A--pB"
"618","068D--pA"
"619","015D--pA"
"620","BLANK1--pA"
"621","BLANK5--pA"
"622","BLANK1--pB"
"623","BLANK19--pA"
"624","BLANK13--pB"
"625","BLANK9--pA"
"626","BLANK13--pA"
"627","BLANK17--pA"
"628","BLANK17--pB"
"629","BLANK11--pB"
"630","BLANK15--pB"
"631","BLANK9--pB"
"632","BLANK21--pA"
"633","BLANK21--pB"
"634","BLANK23--pB"
"635","BLANK3--pA"
"636","BLANK7--pA"
"637","BLANK15--pA"
"638","BLANK7--pB"
"639","BLANK23--pA"
"640","BLANK11--pA"
"641","BLANK5--pB"
"642","BLANK3--pB"
"643","BLANK19--pB"
